0,Parque Masayoshi Ohira,"Parque Masayoshi Ohira, Coyoacán, Ciudad de México, 04210, México","(19.35241215, -99.14215968176771)",19.35241215,-99.1421596817677
2,Parque Cuitláhuac,"Parque Cuitláhuac, Desarrollo Urbano Quetzalcóatl, Iztapalapa, Ciudad de México, 09700, México","(19.326969300000002, -99.0430968572247)",19.3269693,-99.0430968572247
3,Parque La Mexicana,"La Mexicana, Cuajimalpa de Morelos, Ciudad de México, 05348, México","(19.3575338, -99.27044990929093)",19.3575338,-99.2704499092909
4,Parque Cuitláhuac,"Parque Cuitláhuac, Desarrollo Urbano Quetzalcóatl, Iztapalapa, Ciudad de México, 09700, México","(19.326969300000002, -99.0430968572247)",19.3269693,-99.0430968572247
5,Parque Masayoshi Ohira,"Parque Masayoshi Ohira, Coyoacán, Ciudad de México, 04210, México","(19.35241215, -99.14215968176771)",19.35241215,-99.1421596817677
6,Parque Luis G. Urbina (Parque Hundido),"Parque Luis G. Urbina (Parque Hundido), Benito Juárez, Ciudad de México, 03740, México","(19.37819005, -99.17931325527846)",19.37819005,-99.1793132552785
7,Parque Tezozómoc,"Parque Tezozómoc, Azcapotzalco, Ciudad de México, 02420, México","(19.49971185, -99.20963595761995)",19.49971185,-99.20963595762
8,Parque Rufino Tamayo,"Parque Rufino Tamayo, San Pedro Garza García, Nuevo León, México","(25.6445273, -100.32822742420515)",25.6445273,-100.328227424205
9,Parque Lira,"Parque Lira, Miguel Hidalgo, Ciudad de México, 11860, México","(19.405764599999998, -99.18968715277619)",19.4057646,-99.1896871527762
10,Parque México,"Parque México, Cuauhtémoc, Ciudad de México, 06100, México","(19.41232825, -99.16922145932)",19.41232825,-99.16922145932
11,Parque Bicentenario,"Parque Bicentenario, Talca, Provincia de Talca, Región del Maule, 3461761, Chile","(-35.4130059, -71.6141137)",-35.4130059,-71.6141137
12,Parque de los Venados,"Parque de los Venados, Avenida Municipio Libre, Santa Cruz Atoyac, Benito Juárez, Ciudad de México, 03310, México","(19.3706451, -99.1587787)",19.3706451,-99.1587787
13,Parque Lincoln,"Parque Lincoln, Colonia Polanco Chapultepec, Miguel Hidalgo, Ciudad de México, 11540, México","(19.42952905, -99.19708230885169)",19.42952905,-99.1970823088517
15,Parque Alameda Nápoles,"La Napoles, Calle 80 Sur, Getsemaní, UPZs de Bogotá, Localidad Bosa, Bogotá, Bogotá Distrito Capital - Municipio, RAP (Especial) Central, 110731, Colombia","(4.6112524, -74.2061331)",4.6112524,-74.2061331
16,Parque La Tapatía,"Zona de Juegos Infantiles ""La Tapatía"", Colonia Molino del Rey, Miguel Hidalgo, Ciudad de México, 11100, México","(19.4183747, -99.19710779681623)",19.4183747,-99.1971077968162
